研报名称,机构名称,发布时间,行业,研报地址
公用事业及环保产业行业研究：水火成本优化增利，绿核总体承压,国金证券,2025-09-01 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=MJ3xioKgNhk1hYhJk1W6aKmyZwq/z2S71Y2dfTrtL7k=
使用可再生能源进行电气化：马利,国际可再生能源署,2025-09-01 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=MHv7PDaDjgW3qvW84LHM+k728c72S7gMWnLEj7dDdHc=
电力设备及新能源：AIDC系列（六）-数据中心供电需求高增，SOFC有望快速发展,民生证券,2025-08-18 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=S4LMfpS5vjd/zeCuGi0DeASg2e48YnQT7Ay96Bp7dEA=
公用事业及环保产业行业研究：如何拆解并对比23-25年用电增长的结构性特征？,国金证券,2025-08-10 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=myuFwwKf/Nd6031jbMlYpbhe1rJV58UzA4JqMVp5UM8=
大能源行业2025年第32周周报：7月天然气进口数据分析 燃气公司成本端有望优化,华源证券,2025-08-10 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=myuFwwKf/Nd6031jbMlYpRiHLC1JdarK5a+vPcF4ObE=
2025年公用事业行业中期策略：下半场？新赛季？,华源证券,2025-08-07 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=+Mz+Q2xMGuvXLHDCURVde9wM9QciUpETegfrOhMZY5Q=
新型能源体系专题报告：多重因素有望促新能源发电行业高质量发展,东莞证券,2025-07-30 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=vzAfMOGLZAnAerXkGOoW7Aw9bF1cjrXNqof+wYa3nlY=
公用环保202507第4期：国内首台百万千瓦四代商用快堆初步设计完成，2025Q2公用环保板块基金持仓梳理,国信证券,2025-07-28 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=G7Em0vxZ7Uwm6+wL+qp+FypjctfZTLV0Sk+N1rme8Rk=
AIDC电力设备/电网产业链周度跟踪（7月第4周）,国信证券,2025-07-27 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=GLBAb8h72G75HCD/4A/P3HxtMwev563Kz97+HHqVXtk=
电力环保2025年半年报业绩前瞻：供需宽松与现货提速 电源业绩继续分化,华源证券,2025-07-25 00:00:00.000,电网设备,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=Og6Pw/BaGPtueTdkMAAcS+4TcH8LfwhVe19WY7XDFWk=
